UP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
hiUP 127.0.0.1 Ping Successful
UP 127.0.0.1 Ping Successful
UP 127.0.0.1 Ping Successful
UP 192.168.3.1 Ping Successful
UP 192.168.3.1 Ping Successful
UP 192.168.3.1 Ping Successful
17/03/2021 16:47:48UP 192.168.3.1 Ping Successful
17/03/2021 16:47:50UP 192.168.3.1 Ping Successful
17/03/2021 16:47:52UP 192.168.3.1 Ping Successful
17/03/2021 16:49:41UP 192.168.3.1 Ping Successful
17/03/2021 16:49:43UP 192.168.3.1 Ping Successful
17/03/2021 16:49:45UP 192.168.3.1 Ping Successful
17/03/2021 16:49:47UP 192.168.3.1 Ping Successful
17/03/2021 16:49:49UP 192.168.3.1 Ping Successful
17/03/2021 16:49:51UP 192.168.3.1 Ping Successful
17/03/2021 16:49:53UP 192.168.3.1 Ping Successful
17/03/2021 16:49:55UP 192.168.3.1 Ping Successful
17/03/2021 16:50:04Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:50:09Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:16 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:21 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:26 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:31 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:36 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:41 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:46 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:51 -- Down 192.168.3.108 Ping Unsuccessful
17/03/2021 16:56:55 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:56:57 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:56:59 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:01 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:03 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:17 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:19 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:57:21 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:23 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:57:25 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:27 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:57:29 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:57:56 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:57:58 -- UP 192.168.3.200 Ping Successful
17/03/2021 16:58:00 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:58:02 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:58:04 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:58:06 -- UP 192.168.3.200 Ping Successful
17/03/2021 16:58:08 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:58:12 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:59:03 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:59:04 -- UP 192.168.3.200 Ping Successful
17/03/2021 16:59:05 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:59:06 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:59:07 -- UP google.com Ping Successful
17/03/2021 16:59:08 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:59:13 -- Down 192.168.3.200 Ping Unsuccessful
17/03/2021 16:59:14 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:59:15 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:59:16 -- UP google.com Ping Successful
17/03/2021 16:59:17 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:59:18 -- UP 192.168.3.200 Ping Successful
17/03/2021 16:59:19 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:59:20 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:59:28 -- UP 127.0.0.1 Ping Successful
17/03/2021 16:59:29 -- UP 192.168.3.200 Ping Successful
17/03/2021 16:59:30 -- UP 192.168.3.1 Ping Successful
17/03/2021 16:59:31 -- UP 1.1.1.1 Ping Successful
17/03/2021 16:59:32 -- UP Google.com Ping Successful
17/03/2021 16:59:33 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:27 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:28 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:29 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:30 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:31 -- UP Google.com Ping Successful
17/03/2021 17:27:33 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:34 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:35 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:36 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:37 -- UP Google.com Ping Successful
17/03/2021 17:27:38 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:39 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:40 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:41 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:43 -- UP Google.com Ping Successful
17/03/2021 17:27:44 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:45 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:46 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:47 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:48 -- UP Google.com Ping Successful
17/03/2021 17:27:49 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:50 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:51 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:52 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:54 -- UP Google.com Ping Successful
17/03/2021 17:27:55 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:27:56 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:27:57 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:27:58 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:27:59 -- UP Google.com Ping Successful
17/03/2021 17:28:00 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:28:01 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:28:02 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:28:03 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:28:05 -- UP Google.com Ping Successful
17/03/2021 17:28:06 -- UP 127.0.0.1 Ping Successful
17/03/2021 17:28:07 -- UP 192.168.3.200 Ping Successful
17/03/2021 17:28:08 -- UP 192.168.3.1 Ping Successful
17/03/2021 17:28:09 -- UP 1.1.1.1 Ping Successful
17/03/2021 17:28:10 -- UP Google.com Ping Successful
